,,Currency,Symbol,,Release
1,,Bitcoin,BTC,,2009
2,,Litecoin,LTC,,2011
3,,Namecoin,NMC,,2011
4,,Peercoin,PPC,,2012
5,,Dogecoin,DOGE,,2013
6,,Gridcoin,GRC,,2013
7,,Primecoin,XPM,,2013
8,,Ripple,XRP,,2013
9,,Nxt,NXT,,2013
10,,Auroracoin,AUR,,2014
11,,Dash,DASH,,2014
12,,NEO,NEO,,2014
13,,MazaCoin,MZC,,2014
14,,Monero,XMR,,2014
15,,Titcoin,TIT,,2014
16,,Verge,XVG,,2014
17,,Stellar,XLM,,2014
18,,Vertcoin,VTC,,2014
19,,Ethereum,ETH,,2015
20,,Ethereum Classic,ETC,,2015
21,,Nano,Nano,,2015
22,,Tether,USDT,,2015
23,,Zcash,ZEC,,2016
24,,Bitcoin Cash,BCH,,2017
25,,EOS.IO,EOS,,2017
26,,Cardano,ADA,,2017
