,,Symbol,Company Name
,,,
,,GSPC,S&P 500
,,,
,,,
,,XLC,Communication ServicesXLC
,,,
1,XLC,FB,FACEBOOK INC CLASS A COMMON STOCK USD.000006
2,XLC,GOOGL,ALPHABET INC CL A COMMON STOCK USD.001
3,XLC,GOOG,ALPHABET INC CL C COMMON STOCK USD.001
4,XLC,TMUS,T MOBILE US INC COMMON STOCK USD.0001
5,XLC,CHTR,CHARTER COMMUNICATIONS INC A COMMON STOCK USD.001
6,XLC,T,AT+T INC COMMON STOCK USD1.0
7,XLC,CMCSA,COMCAST CORP CLASS A COMMON STOCK USD.01
8,XLC,VZ,VERIZON COMMUNICATIONS INC COMMON STOCK USD.1
9,XLC,DIS,WALT DISNEY CO/THE COMMON STOCK USD.01
10,XLC,ATVI,ACTIVISION BLIZZARD INC COMMON STOCK USD.000001
11,XLC,NFLX,NETFLIX INC COMMON STOCK USD.001
12,XLC,TWTR,TWITTER INC COMMON STOCK USD.000005
13,XLC,EA,ELECTRONIC ARTS INC COMMON STOCK USD.01
14,XLC,VIAC,VIACOMCBS INC   CLASS B COMMON STOCK USD.001
15,XLC,TTWO,TAKE TWO INTERACTIVE SOFTWRE COMMON STOCK USD.01
16,XLC,OMC,OMNICOM GROUP COMMON STOCK USD.15
17,XLC,IPG,INTERPUBLIC GROUP OF COS INC COMMON STOCK USD.1
18,XLC,LUMN,LUMEN TECHNOLOGIES INC COMMON STOCK USD1.0
19,XLC,FOXA,FOX CORP   CLASS A COMMON STOCK USD.01
20,XLC,LYV,LIVE NATION ENTERTAINMENT IN COMMON STOCK USD.01
21,XLC,DISH,DISH NETWORK CORP A COMMON STOCK USD.01
22,XLC,NWSA,NEWS CORP   CLASS A COMMON STOCK USD.01
23,XLC,DISCK,DISCOVERY INC C COMMON STOCK USD.01
24,XLC,DISCA,DISCOVERY INC   A COMMON STOCK USD.01
25,XLC,FOX,FOX CORP   CLASS B COMMON STOCK USD.01
26,XLC,NWS,NEWS CORP   CLASS B COMMON STOCK
,,,
,,XLY,Consumer Discretionary
,,,
27,XLY,AMZN,AMAZON.COM INC COMMON STOCK USD.01
28,XLY,TSLA,TESLA INC COMMON STOCK USD.001
29,XLY,HD,HOME DEPOT INC COMMON STOCK USD.05
30,XLY,MCD,MCDONALD S CORP COMMON STOCK USD.01
31,XLY,NKE,NIKE INC  CL B COMMON STOCK
32,XLY,LOW,LOWE S COS INC COMMON STOCK USD.5
33,XLY,SBUX,STARBUCKS CORP COMMON STOCK USD.001
34,XLY,TGT,TARGET CORP COMMON STOCK USD.0833
35,XLY,BKNG,BOOKING HOLDINGS INC COMMON STOCK USD.008
36,XLY,TJX,TJX COMPANIES INC COMMON STOCK USD1.0
37,XLY,GM,GENERAL MOTORS CO COMMON STOCK USD.01
38,XLY,DG,DOLLAR GENERAL CORP COMMON STOCK USD.875
39,XLY,ROST,ROSS STORES INC COMMON STOCK USD.01
40,XLY,F,FORD MOTOR CO COMMON STOCK USD.01
41,XLY,CMG,CHIPOTLE MEXICAN GRILL INC COMMON STOCK USD.01
42,XLY,ORLY,O REILLY AUTOMOTIVE INC COMMON STOCK USD.01
43,XLY,MAR,MARRIOTT INTERNATIONAL  CL A COMMON STOCK USD.01
44,XLY,APTV,APTIV PLC COMMON STOCK USD.01
45,XLY,EBAY,EBAY INC COMMON STOCK USD.001
46,XLY,YUM,YUM  BRANDS INC COMMON STOCK
47,XLY,HLT,HILTON WORLDWIDE HOLDINGS IN COMMON STOCK USD.01
48,XLY,DHI,DR HORTON INC COMMON STOCK USD.01
49,XLY,AZO,AUTOZONE INC COMMON STOCK USD.01
50,XLY,LEN,LENNAR CORP A COMMON STOCK USD.1
51,XLY,VFC,VF CORP COMMON STOCK
52,XLY,DLTR,DOLLAR TREE INC COMMON STOCK USD.01
53,XLY,BBY,BEST BUY CO INC COMMON STOCK USD.1
54,XLY,EXPE,EXPEDIA GROUP INC COMMON STOCK USD.001
55,XLY,ETSY,ETSY INC COMMON STOCK USD.001
56,XLY,TSCO,TRACTOR SUPPLY COMPANY COMMON STOCK USD.008
57,XLY,KMX,CARMAX INC COMMON STOCK USD.5
58,XLY,CZR,CAESARS ENTERTAINMENT INC COMMON STOCK
59,XLY,CCL,CARNIVAL CORP COMMON STOCK USD.01
60,XLY,GRMN,GARMIN LTD COMMON STOCK CHF.1
61,XLY,LVS,LAS VEGAS SANDS CORP COMMON STOCK USD.001
62,XLY,GPC,GENUINE PARTS CO COMMON STOCK USD1.0
63,XLY,DRI,DARDEN RESTAURANTS INC COMMON STOCK
64,XLY,ULTA,ULTA BEAUTY INC COMMON STOCK USD.01
65,XLY,RCL,ROYAL CARIBBEAN CRUISES LTD COMMON STOCK USD.01
66,XLY,POOL,POOL CORP COMMON STOCK USD.001
67,XLY,NVR,NVR INC COMMON STOCK USD.01
68,XLY,MGM,MGM RESORTS INTERNATIONAL COMMON STOCK USD.01
69,XLY,DPZ,DOMINO S PIZZA INC COMMON STOCK USD.01
70,XLY,PHM,PULTEGROUP INC COMMON STOCK USD.01
71,XLY,WHR,WHIRLPOOL CORP COMMON STOCK USD1.0
72,XLY,LB,L BRANDS INC COMMON STOCK USD.5
73,XLY,TPR,TAPESTRY INC COMMON STOCK USD.01
74,XLY,WYNN,WYNN RESORTS LTD COMMON STOCK USD.01
75,XLY,LKQ,LKQ CORP COMMON STOCK USD.01
76,XLY,PENN,PENN NATIONAL GAMING INC COMMON STOCK USD.01
