symbol,symbol,metric_type,metric
MMM,10DayAverageTradingVolume,2.52982,
MMM,13WeekPriceReturnDaily,12.22817,
MMM,26WeekPriceReturnDaily,23.24331,
MMM,3MonthAverageTradingVolume,50.88457,
MMM,52WeekHigh,203.155,
MMM,52WeekHighDate,2021-04-23,
MMM,52WeekLow,131.12,
MMM,52WeekLowDate,2020-05-14,
MMM,52WeekPriceReturnDaily,29.76567,
MMM,5DayPriceReturnDaily,-2.50247,
MMM,assetTurnoverAnnual,0.69963,
MMM,assetTurnoverTTM,0.70584,
MMM,beta,0.95614,
MMM,bookValuePerShareAnnual,22.27089,
MMM,bookValuePerShareQuarterly,23.73744,
MMM,bookValueShareGrowth5Y,3.49429,
MMM,capitalSpendingGrowth5Y,0.54167,
MMM,cashFlowPerShareAnnual,12.54552,
MMM,cashFlowPerShareTTM,13.12363,
MMM,cashPerSharePerShareAnnual,8.72004,
MMM,cashPerSharePerShareQuarterly,8.86186,
MMM,currentDividendYieldTTM,2.98772,
MMM,currentEv/freeCashFlowAnnual,53.09032,
MMM,currentEv/freeCashFlowTTM,45.85858,
MMM,currentRatioAnnual,1.885,
MMM,currentRatioQuarterly,1.83487,
MMM,dividendGrowthRate5Y,7.75228,
MMM,dividendPerShare5Y,5.244,
MMM,dividendPerShareAnnual,5.88,
MMM,dividendYield5Y,2.74357,
MMM,dividendYieldIndicatedAnnual,3.00294,
MMM,dividendsPerShareTTM,5.89,
MMM,ebitdPerShareTTM,15.94172,
MMM,ebitdaCagr5Y,1.04422,
MMM,ebitdaInterimCagr5Y,1.64363,
MMM,epsBasicExclExtraItemsAnnual,9.32133,
MMM,epsBasicExclExtraItemsTTM,9.87856,
MMM,epsExclExtraItemsAnnual,9.24768,
MMM,epsExclExtraItemsTTM,9.79557,
MMM,epsGrowth3Y,0.27239,
MMM,epsGrowth5Y,4.0443,
MMM,epsGrowthQuarterlyYoy,23.14214,
MMM,epsGrowthTTMYoy,14.56191,
MMM,epsInclExtraItemsAnnual,9.24768,
MMM,epsInclExtraItemsTTM,9.79557,
MMM,epsNormalizedAnnual,9.09138,
MMM,focfCagr5Y,6.09848,
MMM,freeCashFlowAnnual,3224,
MMM,freeCashFlowPerShareTTM,6.35955,
MMM,freeCashFlowTTM,3710,
MMM,freeOperatingCashFlow/revenue5Y,7.28733,
MMM,freeOperatingCashFlow/revenueTTM,11.25607,
